"name","street","city","zip","email"
"Obecný úrad Sasinkovo","č. 3","Sasinkovo",92065,"monikauhlarova@atlas.sk"
"Obecný úrad Barca","č. 24","Barca",98251,"oubarca@post.sk"
"Obecný úrad Janovík","č. 83","Janovík",8203,"obecjanovik@post.sk"
"Obecný úrad Malé Straciny","č. 86","Malé Straciny",99001,"tatianakassayova@pobox.sk"
"Obecný úrad Holiša","č. 61","Holiša",98557,"ocuholisa@stonline.sk"
"Obecný úrad Sklené","č. 97","Sklené",3847,"urad@sklene.sk, obecsklene@mail.t-com.sk"
"Obecný úrad Kamenec pod Vtáčnikom","Dolnokamenčianska 1/57","Kamenec pod Vtáčnikom",97244,"stranka@kamenec.sk, info@kamenec.sk"
"Múzeum Vojtecha Löfflera ","Alžbetina ulica 20","Košice - Staré Mesto",4001,"lofllermuzeum@post.sk"
"Matrika Dulovce","Hlavná 33","Dulovce",94656,"matrika@dulovce.eu"
"Obecný úrad Stará Lesná","č. 29","Stará Lesná",5952,"ocu@staralesna.sk"
"Matrika Nemecká","Hronská 37","Nemecká",97697,"lendacka@mail.t-com.sk"
"Obecný úrad Lazisko","č. 140","Lazisko",3211,"lazisko@lazisko.sk,  oulazisko@alconet.sk"
"Obecný úrad Dlžín","č. 70","Dlžín",97226,"uctovnicka.dlzin@mail.t-com.sk"
"Obecný úrad Gemer","č. 274","Gemer",98201,"obecnyurad@gemer.net"
"Obecný úrad Terchová","Ul. sv. Cyrila a Metoda 96","Terchová",1306,"terchova@terchova.sk, vallo@terchova.sk"
"Matrika Partizánska Ľupča","Partizánska Ľupča","Partizánska Ľupča",3215,"obec.part.lupca@stonline.sk"
"Obecný úrad Litava","č. 5","Litava",96244,"obec.litava@pobox.sk"
"Obecný úrad Oravská Poruba","č. 290","Oravská Poruba",2754,"ocu_or.poruba@stonline.sk"
"Obecný úrad Dolné Saliby","č. 355","Dolné Saliby",92502,"dolnesaliby@dolnesaliby.sk"
"Obecný úrad Zlatá Idka","Časť Valál 114","Zlatá Idka",4461,"zlataidka@zoznam.sk"
"Magistrát mesta Košíc","Trieda SNP 48/A","Košice",4001,"primator@kosice.sk"
"Obecný úrad Gyňov","Čanianska 3","Gyňov",4414,"gynov@stonline.sk"
"Miestny úrad Košice - Džungľa","Člnková 27","Košice - Džungľa",4001,"mu.dzungla@post.sk"
"Obecný úrad Leles","č. 62","Leles",7684,"leles62@hotmail.com"
"Matrika Hanušovce nad Topľou","Mierová 333","Hanušovce nad Topľou",9431,"msu.hanusovce@slovanet.sk"
"Obecný úrad Radošovce","č. 188","Radošovce",90863,"radosovce@radosovce.sk, starosta@radosovce.sk"
"Matrika Zemné","G. Czuczora 268","Zemné",94122,"ouzemne@pentacom.sk"
"Obecný úrad Biskupice","Biskupická 61/132","Biskupice",98601,"obecbiskupice@geniusnet.sk"
"Obecný úrad Diakovce","Hlavná 118","Diakovce",92581,"diakovce@nextra.sk"
"Obecný úrad Babie","č. 9","Babie",9431,"ocubabie@slovanet.sk"
"Obecný úrad Hrubá Borša","č. 73","Hrubá Borša",92523,"obechrubaborsa@zoznam.sk"
"Obecný úrad Trebeľovce","č. 109","Trebeľovce",98531,"obectrebelovce@mytel.sk"
"Obecný úrad Veľká Mača","č. 137","Veľká Mača",92532,"ocuvmaca@nextra.sk, ocuvmaca@maxnet.sk"
"Mestský úrad Levoča","Nám. Majstra Pavla 4","Levoča",5401,"mesto@levoca.sk"
"Matrika Veľké Úľany","Hlavná 9","Veľké Úľany",92522,"ocuvelkeulany@stonline.sk"
"Obecný úrad Tibava","č. 131","Tibava",7301,"ocu.tibava@lekosonline.sk"
"Daňový úrad Kolárovo","Dlhá 2","Kolárovo",94603,"du.kl@nr.drsr.sk"
"Matrika Holice","Póšfa 151","Holice",93034,"nagye@egyhazgelle.sk"
"Obecný úrad Mokrá Lúka","č. 2","Mokrá Lúka",5001,"obec@mokraluka.sk, obmokraluka@stonline.sk"
"Obecný úrad Mlynky","č. 324","Mlynky",5376,"mlynky@stonline.sk"
"Obecný úrad Kladzany","č. 100","Kladzany",9421,"obeckladzany@stonline.sk"
"Obecný úrad Orovnica","č. 96","Orovnica",96652,"ocuorovnica@stonline.sk"
"Obecný úrad Chrastince","č. 18","Chrastince",99108,"chrastince@gmail.com"
"Obecný úrad Vlachy","č. 126","Vlachy",3213,"obecvlachy@citycom.sk, vlachy@citycom.sk"
"Matrika Kráľovský Chlmec","Ľ.Kossutha 99","Kráľovský Chlmec",7701,"chlmec@stonline.sk"
"Obecný úrad Špačince","Hlavná 183/6","Špačince",91951,"starosta.spacince@stonline.sk"
"Obecný úrad Kátlovce","č. 1","Kátlovce",91955,"obeckatlovce@stonline.sk"
"Obecný úrad Orávka","č. 49","Orávka",98042,"obec.oravka@gemernet.sk"
"Obecný úrad Ludanice","SNP 448","Ludanice",95611,"oculudanice@obecludanice.sk"
"Obecný úrad Klokočov","č. 65","Klokočov",7236,"obec@klokocovmi.sk"
"Obecný úrad Gaboltov","č. 87","Gaboltov",8602,"gaboltov@entrysad.com, obec_gaboltov@mail.t-com.sk"
"Matrika Staškov","Jozefa Kronera 588","Staškov",2353,"obecstaskov@stonline.sk"
"Matrika Plavecký Peter","č. 37","Plavecký Peter",90635,"plav.peter_obec@stonline.sk"
"Obecný úrad Dohňany","č. 68","Dohňany",2051,"obec@dohnany.sk"
"Obecný úrad Štiavnik","č. 764","Štiavnik",1355,"ocu@stiavnik.sk, starosta@stiavnik.sk"
"Obecný úrad Lieskovany","č. 50 ","Lieskovany",5321,"lieskovany@stonline.sk"
"Miestny úrad Bratislava - Karlova Ves","Nám. sv. Františka 8","Bratislava - Karlova Ves",84262,"starostka@karlovaves.sk"
"Obecný úrad Kyjatice","č. 3","Kyjatice",98054,"oukyjatice@orangemail.sk"
"Obecný úrad Dojč","č. 125","Dojč",90602,"oudojc@stonline.sk"
"Obecný úrad Hozelec","Hlavná 58","Hozelec",5911,"obechozelec@azet.sk"
"Obecný úrad Ďurkovce","č. 76","Ďurkovce",99127,"obec@durkovce.gityposta.sk"
"Obecný úrad Kuklov","č. 203","Kuklov",90878,"obeckuklov@stonline.sk"
"Obecný úrad Malý Horeš","Družstevná 233","Malý Horeš",7652,"obecmalyhores@stonline.sk"
"Obecný úrad Sirk","č. 71","Sirk",4964,"ocusirk@stonline.sk"
"Obecný úrad Červený Hrádok","č. 193","Červený Hrádok",95182,"soch@naex.sk"
"Obecný úrad Točnica","č. 113","Točnica",98522,"obectocnica@stonline.sk"
"Obecný úrad Nedašovce","č. 66","Nedašovce",95635,"ocunedasovce@centrum.sk"
"Obecný úrad Krahule","č. 26","Krahule",96701,"ou@krahule.eu"
"Obecný úrad Stebník","č. 11","Stebník",8633,"starosta@stebnik.sk"
"Mestský úrad Trstená","Bernolákova 96/8","Trstená",2801,"msu@trstena.sk"
"Archív Mincovne Kremnica","Nám. M. R. Štefánika 25","Kremnica",96715,"investicne@mint.sk"
"Obecný úrad Ludrová","č. 239","Ludrová",3471,"ludrova@ludrova.sk"
"Obecný úrad Štvrtok","č. 1","Štvrtok",91305,"obec.stvrtok@stonline.sk"
"Obecný úrad Nižná Sitnica","č. 105","Nižná Sitnica",9407,"niznasitnica@stonline.sk"
"Obecný úrad Krpeľany","Štefánikova 138","Krpeľany",3854,"krpelany@krpelany.sk"
"Matrika Bacúch","č. 419","Bacúch",97665,"obecbacuch@stonline.sk"
"Obecný úrad Mlynárovce","č. 102","Mlynárovce",9016,"obecmlynarovce@post.sk"
"Úrad práce, sociálnych vecí a rodiny Nové zámky, vysunuté pracovisko Šurany","SNP 149","Šurany",94201,"veronika.celechovska@upsvar.sk, hetnerovicova.slavka@upsvr.gov.sk"
"Matrika Liesek","č. 442","Liesek",2712,"matrika@liesek.eu.sk"
"Matrika Čierna nad Tisou","Nám. pionierov 1","Čierna nad Tisou",7643,"mestkyurad_ciernanadtisou@stonline.sk"
"Obecný úrad Dolné Dubové","č. 1","Dolné Dubové",91952,"obec@dolnedubove.sk, starosta@dolnedubove.sk"
"Obecný úrad Žihárec","č. 599","Žihárec",92583,"obecziharec@stonline.sk"
"Obecný úrad Pavčina Lehota","č. 71","Pavčina Lehota",3101,"obec@pvcina-lehota.sk"
"Obecný úrad Lutila","Štefánikova 84","Lutila",96622,"lutila@lutila.sk"
"Obecný úrad Vištuk","Hlavná 353","Vištuk",90085,"vistuk@vistuk.sk"
"Obecný úrad Jarok","Hlavná 176","Jarok",95148,"ocujarok@jarok.sk"
"Obecný úrad Liptovská Sielnica","č. 75","Liptovská Sielnica",3223,"obec-sielnica@citycom.sk"
"Obecný úrad Palota","č. 45","Palota",6801,"obecpalota@zoznam.sk"
"Obecný úrad Mútne","č. 194","Mútne",2963,"ocu.mutne@stonline.sk"
"Obecný úrad Pozdišovce","č. 144","Pozdišovce",7201,"ocu.pozdisovce@inmail.sk"
"Obecný úrad Malá Ida","Hlavná 11","Malá Ida",4420,"obecmalaida@stonline.sk"
"Obecný úrad Svodín","Hlavná 1117/1","Svodín",94354,"svodin@svodin.sk"
"Obecný úrad Veselé","č. 346","Veselé",92208,"ocuvesele@stonline.sk"
"Matrika Moravský Svätý Ján","č. 803","Moravský Svätý Ján",90871,"msjan@nextra.sk"
"Obecný úrad Inovce","č. 28","Inovce",7264,"inovce@inovce.sk"
"Obecný úrad Lemešany","č. 186","Lemešany",8203,"lemesany@mail.t-com.sk"
"Obecný úrad Zbehy","č. 69","Zbehy",95142,"starosta@zbehy.sk"
"Matrika Nitrianske Pravno","Nám. SNP 1/1","Nitrianske Pravno",97213,"matrika@nitrianskepravno.sk "
"Obecný úrad Závadka","č. 126","Závadka",6601,"obeczavadka@stonline.sk"
"Obecný úrad Bracovce","č. 275","Bracovce",7205,"obecbracovce@centrum.sk"
"Obecný úrad Kremnické Bane","č. 1","Kremnické Bane",96701,"kremnickebane@stonline.sk"
"Obecný úrad Želovce","Zdravotnícka 255","Želovce",99106,"obec@zelovce.sk"
"Obecný úrad Nová Vieska","č. 294","Nová Vieska",94341,"obec@novavieska.sk"
"Obecný úrad Krivoklát","č. 77","Krivoklát",1852,"krivoklat@abiks.sk"
"Obecný úrad Vyšný Medzev","Hrdinov SNP 152","Vyšný Medzev",4425,"obec@vysnymedzev.sk"
"Obecný úrad Bačkovík","č. 41","Bačkovík",4445,"obecbackovik@stonline.sk"
"Matrika Nižný Hrabovec","č. 407","Nižný Hrabovec",9421,"ocu.nizny.hrabovec@slovanet.sk"
"Matrika Jablonové","č. 197","Jablonové",90054,"obec.jablonove@stonline.sk"
"Obecný úrad Smižany","Nám. M. Pajdušáka 50","Smižany",5311,"smizanyocu@rup.sk"
"Obecný úrad Hviezdoslavov","č. 8","Hviezdoslavov",93041,"ocu-hviezdoslavov@stonline.sk"
"Matrika Mošovce","Kolárovo nám. 314","Mošovce",3821,"danusa.ludikova@mosovce.sk"
"Obecný úrad Radvanovce","č. 5","Radvanovce",9431,"obecradvanovce@stonline.sk"
"Obecný úrad Chvojnica","č. 1","Chvojnica",90606,"obec@chvojnica.sk"
"Matrika Strekov","Blatná 1036","Strekov",94137,"obec.strekov@stonline.sk"
"Obecný úrad Olešná","č. 493","Olešná",2352,"urad@obecolesna.sk"
"Mestský úrad Holíč","Bratislavská ul.","Holíč",90851,"sekretariat@holic.sk"
"Matrika Oravská Polhora","č. 454","Oravská Polhora",2947,"ocuorpolhora@stonline.sk"
"Obecný úrad Jesenské","č. 28","Jesenské",93536,"obec@jesenske.gityposta.sk"
"Matrika Nová Bystrica","č. 657","Nová Bystrica",2305,"obec@novabystrica.sk"
"Obecný úrad Vlkovce","č. 63","Vlkovce",5971,"vlkovce@sinet.sk"
"Obecný úrad Davidov","č. 182","Davidov",9303,"ocudavidov@dknet.sk"
"Obecný úrad Horný Tisovník","č. 77","Horný Tisovník",96275,"htisovnik@podpolanou.sk"
"Obecný úrad Priepasné","č. 109","Priepasné",90615,"priepasne@post.sk"
"Matrika Piešťany","Nám.SNP 3","Piešťany",92145,"sekretariat@piestany.sk"
"Obecný úrad Smolník","č. 1","Smolník",5566,"obecuradsmolnik@stonline.sk"
"Obecný úrad Klátova Nová Ves","č. 100","Klátova Nová Ves",95844,"klatova@post.sk, ocu@klatovanovaves.sk"
"Obecný úrad Kvetoslavov","č. 258","Kvetoslavov",93041,"obeckvetoslavov@stonline.sk"
"Obecný úrad Sirník","Hlavná 152/21","Sirník",7603,"obecsirnik@trenet.sk"
"Obecný úrad Teplý Vrch","č. 80","Teplý Vrch",98023,"outv@post.sk"
"Obecný úrad Vavrišovo","č. 40","Vavrišovo",3242,"obec@vavrisovo.sk"
"Matrika Beša","č. 306","Beša",93536,"obecbesa@stonline.sk"
"Obecný úrad Zemplínska Nová Ves","Hlavná 182","Zemplínska Nová Ves",7616,"obec_zemplinska.nova.ves@stonline.sk,   obeczemplinskanovaves@kid.sk"
"Obecný úrad Buková","č. 50","Buková",91910,"obec@bukova.sk"
"Obecný úrad Ladomirová","č. 33","Ladomirová",9003,"obecladomirova@stonline.sk"
"Obecný úrad Kálnica","č. 100","Kálnica",91637,"obec.kalnica@naex.sk"
"Obecný úrad Gribov","č. 36","Gribov",9022,"obecgribov@gmail.com"
"Matrika Šenkvice","Nám. G. Kolinoviča 5","Šenkvice",90081,"ob.urad.senkvice@orangemail.sk"
"Obecný úrad Bidovce","č. 210","Bidovce",4445,"obecbidovce@netkosice.sk"
"Miestny úrad Košice - Luník IX","Krčméryho 2","Košice - Luník IX",4011,"lunik9@centrum.sk"
"Obecný úrad Sušany","č. 87","Sušany",98012,"osusany@post.sk"
"Obecný úrad Podhorie","č. 84","Podhorie",96982,"borgulova@orangemail.sk, obecnyurad@podhorie.sk"
"Mestský úrad Tisovec","Nám. Dr. V. Clementisa 1","Tisovec",98061,"mesto@tisovec.com"
"Matrika Tomášov","1. mája 5","Tomášov",90044,"ob.urad.senkvice@orangemail.sk"
"Obecný úrad Lipové","č. 59","Lipové",94614,"obeclipove@stonline.sk"
"Obecný úrad Motešice","Machnáčska 288","Motešice",91326,"obec@motesice.sk, starosta@motesice.sk"
"Matrika ","Hlavná 176","Streda nad Bodrogom",7631,"obecstredan.b@stonline.sk"
"Obecný úrad Slovenské Ďarmoty","č. 99","Slovenské Ďarmoty",99107,"obecslov.darmoty@stonline.sk"
"Obecný úrad Osturňa","č. 153","Osturňa",5979,"obecosturna@stonline.sk"
"Obecný úrad Rudník","č. 205","Rudník",4423,"obec.rudnik@stonline.sk"
"Obecný úrad Nemcovce","č. 27","Nemcovce",8612,"nemcovce@nemcovce.sk, starosta@nemcovce.sk"
"Obecný úrad Streda nad Bodrogom","Hlavná 176","Streda nad Bodrogom",7631,"obecstredanb@stonline.sk"
"Matrika Somotor","Obchodná 39/7","Somotor",7635,"matrika@somotor.sk"
"Miestny úrad Košice - Sever","Festivalové nám. č.2","Košice - Sever",4001,"info@kosicesever.sk"
"Obecný úrad Giglovce","č. 50","Giglovce",9405,"ocugiglovce@stonline.sk"
"Obecný úrad Moravský Svätý Ján","č. 803","Moravský Svätý Ján",90871,"obecmsjan@obecmsjan.sk"
"Obecný úrad Zlatno","č. 99","Zlatno",95191,"zlatno@stonline.sk"
"Mestský úrad Medzilaborce","Mierova 326/4","Medzilaborce",6801,"medzilaborce@stonline.sk"
"Obecný úrad Veľké Leváre","Štefánikova 747","Veľké Leváre",90873,"ocuvl@stonline.sk"
"Obecný úrad Klokoč","č. 1","Klokoč",96225,"obecklokoc@stonline.sk, ouklokoc@orangemail.sk"
"Obecný úrad Remeniny","č. 11","Remeniny",9431,"obecremeniny@stonline.sk"
"Obecný úrad Hrachovo","Mieru 35","Hrachovo",98052,"obechrachovo@stonline.sk"
"Obecný úrad Slivník","Hlavná 9","Slivník",7612,"slivnik@slivnik.sk"
"Obecný úrad Kapušianske Kľačany","č. 27","Kapušianske Kľačany",7901,"obeckapklacany@zoznam.sk"
"Obecný úrad Liptovský Peter","č. 100","Liptovský Peter",3301,"liptovsky.peter@mag-net.sk"
"Obecný úrad Biel","Hlavná 48","Biel",7641,"biel@mail.t-com.sk"
"Matrika Váhovce","č. 329","Váhovce",92562,"obecvahovce@stonline.sk"
"Obecný úrad Úbrež","č. 169","Úbrež",7242,"obecubrez@minet.sk, starostaubrez@minet.sk"
"Obecný úrad Potok","č. 24","Potok",3483,"mraz@potok.sk"
"Matrika Hurbanovo","Komárňanská 91","Hurbanovo",94701,"mestohurbanovo@stonline.sk"
"Obecný úrad Horná Štubňa","č. 455","Horná Štubňa",3846,"ocuhstt@mt.psg.sk, starosta@hornastubna.sk"
"Obecný úrad Nižná Voľa","č. 30","Nižná Voľa",8621,"obecniznavola@centrum.sk"
"Obecný úrad Dolná Streda","J. Majku 650","Dolná Streda",92563,"ocu.dolnastreda@stonline.sk"
"Matrika Bratislava - Vajnory","Roľnícka 109","Bratislava - Vajnory",83107,"zemanova@vajnory.sk"
"Obecný úrad Matiaška","č. 56","Matiaška",9431,"oumatiaska@stonline.sk"
"Matrika Turčianske Teplice","Partizánska 1","Turčianske Teplice",3901,"spravneod@turciansketeplice.sk"
"Matrika Blatná na Ostrove","č. 111","Blatná na Ostrove",93032,"obec@blatnanaostrove.sk"
"Matrika Novoť","č. 285","Novoť",2955,"ounovot@bb.telecom.sk"
"Obecný úrad Ružindol","č. 130","Ružindol",91961,"obec@ruzindol.sk, starosta@ruzindol.sk"
"Obecný úrad Nemešany","č. 62","Nemešany",5302,"obec.nemesany@spisnet.sk"
"Obecný úrad Hruboňovo","č. 153","Hruboňovo",95125,"obechrubonovo@stonline.sk"
"Obecný úrad Trenčianska Teplá","M. R. Štefánika 376/30","Trenčianska Teplá",91401,"obecnyurad@trencianskatepla.sk"
"Obecný úrad Porúbka","Rajecká cesta 29","Porúbka",1311,"ouporubka@stonline.sk"
"Matrika Prašice","1. mája 142","Prašice",95622,"lydia.mikova@prasice.sk"
"Obecný úrad Mošovce","Kollárovo nám. 314","Mošovce",3821,"mosovce@mosovce.sk, jan.zirko@mosovce.sk"
"Obecný úrad Dolná Breznica","č. 62","Dolná Breznica",2061,"dolnabreznica@stonline.sk"
"Obecný úrad Kvakovce","č. 88","Kvakovce",9402,"obeckvakovce@stonline.sk"
"Obecný úrad Mužla","č. 711","Mužla",94352,"starosta@muzla.sk, sekretariat@muzla.sk"
"Obecný úrad Červenica pri Sabinove","č. 122","Červenica pri Sabinove",8256,"cervenica.s@centrum.sk"
"Obecný úrad Obid","Kráľa Štefana 57","Obid",94304,"starosta@obid.sk"
"Mestský úrad Krompachy","Nám. slobody 1","Krompachy",5342,"krompachy@krompachy.sk"
"Obecný úrad Hrnčiarovce nad Parnou","Farská 37","Hrnčiarovce nad Parnou",91935,"obec@hrnciarovce.sk, sekretariat@hrnciarovce.sk"
"Štátny archív v Banskej Bystrici, pobočka Kremnica","ČSA 951/82","Kremnica",97601,"archiv@sabb-pkremnica.vs.sk"
"Obecný úrad Hradište","č. 112","Hradište",98525,"obec_hradiste@stonline.sk"
"Obecný úrad Krivá","č. 180","Krivá",2755,"oukriva@orava.sk"
"Obecný úrad Červená Voda","č. 28","Červená Voda",8301,"obec@cervenavoda.sk"
"Obecný úrad Malé Chyndice","č. 41","Malé Chyndice",95154,"obecmalechyndice@zoznam.sk"
"Matrika ","Hlavná 108","Michaľany",7614,"obecmichalany@stonline.sk"
"Obecný úrad Polichno","č. 4","Polichno",98513,"polichno@polichno.sk"
"Obecný úrad Kozelník","č. 16","Kozelník",96615,"ocu_kozelnik@orangemail.sk"
"Obecný úrad Heľpa","Farská 588/2","Heľpa",97668,"ouhelpa@stonline.sk, helpa@helpa.sk"
"Obecný úrad Horné Orešany","č. 190","Horné Orešany",91903,"ocuhoresany@stonline.sk"
"Obecný úrad Dolná Súča","č. 2","Dolná Súča",91332,"obec.dolnasuca@stonline.sk"
"Obecný úrad Žíp","č. 17","Žíp",98021,"obeczip@rsnet.sk"
"Matrika Sklené","č. 97","Sklené",3847,"obecsklene@stonline.sk"
"Obecný úrad Červený Kameň","č. 226","Červený Kameň",1856,"urad@cervenykamen.sk"
"Obecný úrad Beladice","Gaštanová 167","Beladice",95175,"beladice1@stonline.sk"
"Matrika Vranov nad Topľou","Dr. C. Daxnera 87","Vranov nad Topľou",9303,"muska@vranov.sk"
"Sociálna poisťovňa, pobočka Nové Zámky, vysunuté pracovisko Štúrovo","Jesenského 85","Štúrovo",94301,"novezamky@socpoist.sk"
"Obecný úrad Hvozdnica","č. 348","Hvozdnica",1356,"ou@hvozdnica.sk"
"Matrika Preseľany","č. 77","Preseľany",95612,"obecpreselany@stonline.sk"
"Obecný úrad Povoda","č. 87","Povoda",92901,"oupovoda@madnet.sk"
"Obecný úrad Dražice","č. 31","Dražice",98023,"obecdrazice@mail.t-com.sk"
"Obecný úrad Nová Ves","č. 200","Nová Ves",99105,"obec.novaves@gost.sk"
"Colný úrad Žilina, pobočka","Krakovská cesta 963/24","Trstená",2801,"cu6076@colnasprava.sk"
"Obecný úrad Lovce","č. 222","Lovce",95192,"obeclovce@centrum.sk"
"Obecný úrad Kalinovo","SNP 138/14","Kalinovo",98501,"obec@kalinovo.sk"
"Miestny úrad Košice - Košická Nová Ves","Mliečna 1","Košice - Košická Nová Ves",4014,"mcknv@netkosice.sk"
"Obecný úrad Solčany","Hviezdoslavova 50","Solčany",95617,"obecsolcany@stonline.sk"
"Obecný úrad Bretka","č. 33","Bretka",98046,"obecbretka@stonline.sk"
"Obecný úrad Lysica","č. 138","Lysica",1305,"obeclysica@stonline.sk"
"Matrika Lúka","č. 205","Lúka",91633,"obecluka@stonline.sk"
"Obecný úrad Pravenec","č. 208","Pravenec",97216,"ocupravenec@stonline.sk"
"Mestský úrad Tvrdošín","Trojičné nám. 185/2","Tvrdošín",2744,"primator@tvrdosin.sk"
"Obecný úrad Belejovce",,"Belejovce",8901,"jmarko@zoznam.sk"
"Matrika Sereď","Nám. Republiky 1176/10","Sereď",92600,"vs@sered.sk"
"Obecný úrad Malé Dvorníky","č. 153","Malé Dvorníky",92901,"obecmaledvorniky@post.sk"
"Matrika Hniezdne","č. 1","Hniezdne",6501,"obechniezdne@stonline.sk"
"Obecný úrad Zlaté","č. 17","Zlaté",8601,"ocuzlate@stonline.sk"
"Obecný úrad Kyselica","č. 60","Kyselica",93030,"kormoran@nextra.sk"
"Obecný úrad Švedlár","č. 87","Švedlár",5334,"obecsvedlar@ke.telecom.sk"
"Mestský úrad Prešov","Hlavná 73","Prešov",8068,"mesto.radnica@presov.sk"
"Obecný úrad Debraď","č. 147","Debraď",4501,"ocudebrad@stonline.sk"
"Obecný úrad Ľuboreč","č. 138","Ľuboreč",98511,"oculuborec@stonline.sk"
"Obecný úrad Bory","č. 84","Bory",93587,"obecbory@stonline.sk"
"Obecný úrad Vrbovka","č. 56","Vrbovka",99106,"ipolyvarbo@szm.sk"
"Matrika Horné Orešany","č. 190","Horné Orešany",91903,"ocuoresany@stonline.sk"
"Obecný úrad Lozorno","Hlavná 1","Lozorno",90055,"obec@lozorno.sk"
"Obecný úrad Jasenov","Hlavná 337","Jasenov",6601,"obecnyurad@jasenov.sk, ocujas@kapca.sk"
"Matrika Topoľčianky","Hlavná 114","Topoľčianky",95193,"obectopolcianky@topolcianky.sk"
"Obecný úrad Kľačno","č. 119","Kľačno",97215,"klacno@prievidzanet.sk, obec@klacno.eu"
"Obecný úrad Vyšné Ladičkovce","č. 24","Vyšné Ladičkovce",6711,"elvin@henet.sk"
"Obecný úrad Dulovce","Hlavná 33 ","Dulovce",94656,"obecdulovce@stonline.sk"
"Obecný úrad Šarkan","č. 38","Šarkan",94342,"ou.sarkan@stonline.sk, sarkan@dolnepohronie.sk"
"Obecný úrad Veľký Lom","č. 42","Veľký Lom",99103,"velkylom@orangemail.sk"
"Obecný úrad Šarišské Dravce","č. 109","Šarišské Dravce",8273,"ocusar.dravce@stonline.sk, starostaocusar.dravce@stonline.sk"
"Daňový úrad Štúrovo","Sv. Štefana 79","Štúrovo",94301,"du.st@nr.drsr.sk"
"Obecný úrad Jaslovské Bohunice","Námestie sv. Michala 36/10A","Jaslovské Bohunice",91930,"obec@jaslovskebohunice.sk"
"Matrika Dedinka","č. 97","Dedinka",94150,"pamrich@nextra.sk"
"Matrika Málinec","č. 474","Málinec",98526,"malinec@stonline.sk"
"Obecný úrad Batizovce","Štúrova 29","Batizovce",5935,"obec@batizovce.sk, oubatizovce@stonline.sk"
"Úrad práce, sociálnych vecí a rodiny Košice - okolie","Staničné nám. 9","Košice - Staré Mesto",4211,"milan.lesko@upsvar.sk"
"Matrika Detva","Tajovského 7","Detva",96212,"sekretariat@msudt.sk"
"Obecný úrad Ovčiarsko","Hričovská cesta 16","Ovčiarsko",1004,"obecovciarsko@gmail.com"
"Obecný úrad Bašovce","č. 160","Bašovce",92201,"basovce@stonline.sk"
"Obecný úrad Malachov","Ortútska cesta 145","Malachov",97405,"oumalachov@orangemail.sk, starosta@malachov.sk"
"Mestský úrad Nové Zámky","Hlavné nám. 10","Nové Zámky",94035,"primator@novezamky.sk"
"Obecný úrad Kosihovce","č. 251","Kosihovce",99125,"kosihovce@pobox.sk"
"Colný úrad Michalovce, pobočka Čierna nad Tisou (železničný priechod)","Železničná 212","Čierna nad Tisou",7643,"zeleznica.pcu5311@colnasprava.sk"
"Obecný úrad Lada","č. 240","Lada",8212,"obeclada@zoznam.sk"
"Obecný úrad Krokava","č. 4","Krokava",98267,"krokava@gemer.org"
"Obecný úrad Dolné Strháre","č. 126","Dolné Strháre",99103,"dolnestrhare@procomp.sk"
"Úrad práce, sociálnych vecí a rodiny Levice, vysunutré pracovisko Želiezovce","Schubertova 45","Želiezovce",93701,"irena.turzova@upsvar.sk"
"Obecný úrad Lechnica","č. 92","Lechnica",5906,"lechnica@sinet.sk"
"Obecný úrad Vinné","č. 508","Vinné",7231,"starosta@vinne.sk"
"Obecný úrad Kolačkov","č. 30","Kolačkov",6511,"obeckolackov@stonline.sk"
"Obecný úrad Ďurkov","č. 274","Ďurkov",4419,"obecdurkov@stonline.sk"
"Obecný úrad Bíňovce","č. 134","Bíňovce",91907,"ocubinovce@stonline.sk"
"Mestský úrad Turzovka","R. Jašíka 178","Turzovka",2354,"msu@mestoturzovka.sk"
"Obecný úrad Breza","č. 56","Breza",2953,"ocubreza@stonline.sk"
"Obecný úrad Chrámec","č. 38","Chrámec",98042,"chramec@gemernet.sk"
"Colný úrad Michalovce, pobočka Vyšné Nemecké","Hraničný priechod Vyšné Nemecké","Vyšné Nemecké",7251,"cp5321@colnasprava.sk"
"Matrika Klokočov","č. 962","Klokočov",2322,"matrika@klokocov.sk"
"Obecný úrad Hankovce","č. 117","Hankovce",6712,"obec.hankovce@stonline.sk"
"Obecný úrad Šútovo","Fatranská 88","Šútovo",3854,"ocusutovo@stonline.sk"
"Obecný úrad Potônske Lúky","č. 21","Potônske Lúky",93052,"potluky@post.sk"
"Obecný úrad Krásnohorské Podhradie","Lipová 120","Krásnohorské Podhradie",4941,"obec.krasnohorskepodhradie@stonline.sk"
"Obecný úrad Pečenice","č. 64","Pečenice",93503,"obec.pecenice@stonline.sk"
"Obecný úrad Lubeník","č. 222","Lubeník",4918,"obec.lubeník@revnet.sk"
"Obecný úrad Chorvátsky Grob","M. Urbana 6","Chorvátsky Grob",90025,"chorvatskygrob@stonline.sk"
"Mestské kultúrne stredisko - Mestská knižnica","Hlavné nám. 23","Šahy",93601,"kniznica.sahy@mail.sk"
"Matrika Dubodiel","č. 33","Dubodiel",91323,"obec.dubodiel@stonline.sk"
"Miestny úrad Košice - Juh","Smetanova 4","Košice - Juh",4079,"urad@kosicejuh.sk"
"Matrika Šalov","č. 16","Šalov",93571,"obecsalov@naex.sk"
"Matrika Imeľ","č. 507","Imeľ",94652,"ocuimel@pentacom.sk"
